Van;tot;Maand;Naam evenement;Evenementenlocatie
6;6;Januari;Snuffelmarkt;Eemplein
21;21;Januari;Muzikale Showroomshow;Zevenhuizerstraat 44, Hoogland
28;28;Januari;Amersfoortse Bergcross;Bosgebied Klein Zwitserland
-;3;Februari;Snuffelmarkt;Eemplein
9;9;Februari;Kindercarnaval optocht Hoogland ;Van Kraailandhof naar Hamseweg
11;11;Februari;Carnavalsoptocht Hoogland;Dorpskern Hoogland
2;2;Maart;Snuffelmarkt;Eemplein
20;20;Maart;Dag tegen Racisme en Discriminatie ;Hof
23;23;Maart;De Lieve Lentemarkt;Oliemolenhof
6;6;April;Snuffelmarkt;Eemplein
13;14;April;Smartlappenfestival;Groenmarkt, Hof,Lieve Vrouwekerkhof, Varkensmarkt, Straten binnenstad,Kamp,Spui,Eemplein,St. Jansstraat,Jorisplein 
20;20;April;Snuffelmarkt;Eemplein
20;20;April;Record Store Day;Havik
26;27;April;Koningsavond en Koningsdag Hoogland ;Engweg – Hoogland, Hof,  Lieve Vrouwekerkhof
27;27;April;Koningsdag Nieuwe Stad;Oliemolenhof,  Bloemendalsestraat,  Winkelcentrum Vathorst, Winkelcentrum De Nieuwe Hof 
2;2;Mei;Keti Koti;Lieve Vrouwekerkhof
3;3;Mei;Groenmarkt Speelt Buiten;Groenmarkt
14;14;Juni;Groenmarkt Speelt Buiten;Groenmarkt
14;14;Juni;033SKATE;Startpunt Hellestraat met route door de wijken
14;15;Juni;Arrowhead wedstrijd;Bos Birkhoven
14;16;Juni;JOHO! Land;Boelenhoefseweg
15;15;Juni;Bombari;Kersenbaan
15;15;Juni;Snuffelmarkt;Eemplein
15;16;Juni;Nacht van de Vluchteling;De Nieuwe Stad
16;16;Juni;Stadsgeluid;Lieve Vrouwekerkhof
16;16;Juni;Vijverconcert optie 1;Amfitheater Kattenbroek
16;16;Juni;Groenmarkt Speelt Buiten;Groenmarkt
21;21;Juni;Groenmarkt Speelt Buiten;Groenmarkt
21;21;Juni;033SKATE;Startpunt Hellestraat met route door de wijken
21;22;Juni;Amersfoortse Tweedaagse;Gasthuislaan
22;22;Juni;De Zwoele Zomermarkt;Oliemolenhof
22;22;Juni;Zomer aan de Haven;Eemplein
23;23;Juni;Groenmarkt Speelt Buiten;Groenmarkt
27;30;Juni;Musica Mundo;Lieve Vrouwekerkhof,  Voor filmavond do: Neptunusplein via Kamp, Langestraat naar LVK 
28;28;Juni;033SKATE;Startpunt Hellestraat met route door de wijken
28;28;Juni;Groenmarkt Speelt Buiten;Groenmarkt
28;29;Juni;Festifoort en Kei Foute;Mijnbouwweg
